Precio,Cambio,Potencia,Año,kilometraje,Diésel,Eléctrico,Gasolina,Hybrid
4950,0,75,2006,52000,False,False,True,False
2300,0,105,2007,195000,True,False,False,False
4200,0,68,2011,160000,True,False,False,False
6500,0,90,2013,240000,True,False,False,False
15490,0,91,2021,34199,False,False,True,False
11490,0,110,2015,114243,True,False,False,False
2650,0,150,2006,183000,True,False,False,False
5300,0,105,2007,83000,True,False,False,False
12690,0,90,2019,136304,True,False,False,False
11490,0,75,2019,101145,True,False,False,False
13940,0,110,2017,104338,True,False,False,False
12590,0,75,2017,45690,True,False,False,False
15490,0,130,2017,119348,True,False,False,False
2000,0,105,2009,190000,True,False,False,False
21800,1,160,2017,107935,True,False,False,False
1490,0,105,2003,222405,True,False,False,False
1490,1,115,2003,205892,False,False,True,False
16490,0,90,2019,72580,True,False,False,False
1450,0,80,2004,223726,True,False,False,False
2800,0,70,2007,289000,True,False,False,False
1730,0,80,2004,174493,True,False,False,False
2000,0,105,2009,190000,True,False,False,False
17990,0,100,2019,26149,False,False,True,False
2100,0,100,2005,178000,True,False,False,False
16490,0,90,2019,16262,False,False,True,False
10890,0,75,2018,59131,True,False,False,False
11390,0,90,2019,82047,True,False,False,False
10490,0,75,2018,87864,True,False,False,False
3799,0,70,2009,244000,True,False,False,False
12800,0,90,2016,91190,False,False,True,False
12800,0,90,2016,91190,False,False,True,False
12420,0,90,2016,142492,True,False,False,False
12420,0,90,2016,142492,True,False,False,False
1499,0,100,2005,250000,True,False,False,False
12990,0,110,2016,135000,True,False,False,False
12990,0,110,2016,135000,True,False,False,False
14490,0,90,2019,94897,False,False,True,False
12820,0,90,2017,89773,False,False,True,False
12820,0,90,2017,89773,False,False,True,False
3300,0,70,2010,230000,True,False,False,False
11900,0,115,2015,86934,False,False,True,False
11900,0,115,2015,86934,False,False,True,False
21990,1,205,2017,59200,False,False,True,False
21990,1,205,2017,59200,False,False,True,False
3500,0,105,2010,255000,True,False,False,False
5500,0,130,2008,283000,True,False,False,False
10850,0,95,2011,58710,True,False,False,False
10990,0,90,2018,95000,False,False,True,False
10850,0,95,2011,58710,True,False,False,False
12900,0,115,2014,96223,False,False,True,False
19000,1,160,2015,122000,True,False,False,False
12900,0,115,2014,96223,False,False,True,False
4500,0,65,2003,88645,True,False,False,False
12420,0,90,2018,26327,False,False,True,False
12420,0,90,2018,26327,False,False,True,False
7999,0,95,2012,125141,True,False,False,False
12399,0,90,2015,45204,False,False,True,False
15990,0,115,2020,9998,True,False,False,False
18490,1,160,2016,142466,True,False,False,False
11990,0,100,2017,96797,False,False,True,False
7399,0,75,2014,84552,False,False,True,False
11199,0,90,2016,63248,False,False,True,False
1600,0,120,2004,24000,True,False,False,False
11000,0,75,2015,58000,True,False,False,False
18490,1,160,2016,142466,True,False,False,False
11990,0,100,2017,96797,False,False,True,False
2900,0,100,2006,179000,False,False,True,False
2499,0,105,2006,266000,True,False,False,False
3200,0,100,2005,165000,True,False,False,False
11000,0,75,2015,58000,True,False,False,False
10599,0,90,2015,109451,False,False,True,False
9999,0,110,2014,110668,True,False,False,False
10990,0,76,2019,91570,False,False,True,False
12190,0,85,2019,109450,True,False,False,False
11490,0,75,2019,81100,True,False,False,False
10990,0,75,2019,101100,True,False,False,False
10790,0,75,2019,117600,True,False,False,False
17980,0,110,2018,117800,True,False,False,False
10990,0,75,2019,110900,True,False,False,False
15480,0,90,2016,95500,True,False,False,False
21450,0,115,2019,98800,True,False,False,False
18290,0,115,2019,56200,True,False,False,False
14699,0,132,2016,61637,False,False,True,False
17599,0,116,2019,47888,True,False,False,False
16499,0,118,2018,36467,False,False,True,False
18799,0,130,2017,118407,True,False,False,False
15999,0,130,2016,82307,True,False,False,False
10599,0,115,2015,98839,False,False,True,False
24900,1,160,2017,50757,True,False,False,False
10899,0,90,2015,53754,False,False,True,False
12999,0,90,2018,33827,False,False,True,False
14799,0,90,2018,24322,False,False,True,False
19499,0,150,2020,36407,True,False,False,False
24900,1,160,2017,50757,True,False,False,False
24900,1,160,2017,50757,True,False,False,False
24900,1,160,2017,50757,True,False,False,False
12600,0,75,2019,84113,True,False,False,False
10500,0,90,2018,79000,True,False,False,False
2500,0,135,2003,133000,False,False,True,False
16990,0,110,2017,91800,True,False,False,False
3800,0,75,2007,229687,False,False,True,False
20490,0,131,2021,13763,False,False,True,False
10999,0,90,2015,95457,True,False,False,False
22460,0,150,2019,100100,True,False,False,False
20299,0,130,2017,25901,False,False,True,False
21399,1,140,2019,34773,False,False,True,False
10800,0,95,2015,89983,True,False,False,False
5000,0,130,2006,217542,True,False,False,False
14490,0,75,2018,59990,True,False,False,False
14490,0,75,2018,59990,True,False,False,False
1000,0,105,2006,270000,True,False,False,False
10500,0,75,2018,128469,True,False,False,False
2290,0,70,2007,146541,True,False,False,False
9199,0,110,2013,131072,True,False,False,False
1950,0,75,2006,183211,False,False,True,False
1550,0,120,2004,138554,True,False,False,False
1690,0,100,2005,196703,True,False,False,False
1490,0,120,2005,253969,True,False,False,False
19299,0,140,2021,19312,False,False,True,False
21500,0,140,2018,76511,False,False,True,False
15800,1,130,2017,129267,False,False,True,False
2499,0,140,2003,269000,False,False,True,False
2990,0,70,2007,199000,True,False,False,False
2990,0,130,2006,217000,True,False,False,False
21940,0,115,2019,75055,True,False,False,False
19980,0,110,2018,75873,True,False,False,False
11599,0,90,2015,106922,False,False,True,False
10599,0,90,2014,144342,True,False,False,False
8299,0,110,2011,102559,True,False,False,False
11699,0,73,2017,14614,False,False,True,False
12299,0,90,2017,134371,True,False,False,False
9500,0,110,2011,65000,True,False,False,False
9199,0,73,2013,32923,False,False,True,False
12599,0,90,2018,28246,False,False,True,False
9799,0,90,2013,53351,False,False,True,False
1000,0,100,2005,243000,True,False,False,False
1650,0,105,2003,200000,True,False,False,False
5500,0,130,2010,210000,True,False,False,False
9899,0,90,2014,83183,False,False,True,False
8399,0,95,2012,115654,True,False,False,False
